,time,open,high,low,close,tick_volume,spread,real_volume
386,1703946660,274.94,274.94,274.04,274.14,27,178,0
387,1703946720,274.06,274.06,272.53,272.92,17,143,0
388,1703946780,272.52,273.39,272.23,273.39,19,138,0
389,1703946840,273.39,273.62,273.02,273.22,10,125,0
390,1703946900,273.42,273.84,273.02,273.84,7,145,0
391,1703946960,273.84,273.84,273.42,273.64,5,145,0
392,1703947020,273.65,273.97,273.54,273.63,8,141,0
393,1703947080,273.63,273.9,273.63,273.9,4,148,0
394,1703947140,273.83,273.83,273.73,273.79,3,155,0
395,1703947200,273.79,273.79,273.23,273.43,9,159,0
396,1703947260,273.23,273.59,273.13,273.59,12,159,0
397,1703947320,273.65,273.71,273.63,273.63,3,157,0
398,1703947380,273.63,273.63,273.63,273.63,1,165,0
399,1703947440,273.63,273.63,273.13,273.33,6,165,0
400,1703947500,273.33,273.33,273.33,273.33,1,173,0
401,1703947560,273.33,273.82,273.33,273.82,5,134,0
402,1703947620,273.82,274.1,273.82,273.85,6,146,0
403,1703947680,273.85,274.13,273.85,274.02,5,133,0
404,1703947740,274.02,274.35,274.02,274.19,5,128,0
405,1703947800,274.19,274.54,274.19,274.54,3,130,0
406,1703947860,274.54,274.56,274.16,274.46,6,132,0
407,1703947920,274.49,274.49,274.26,274.36,5,156,0
408,1703947980,274.36,274.36,274.16,274.36,4,169,0
409,1703948040,274.36,274.51,274.36,274.51,3,154,0
410,1703948100,274.51,274.51,273.96,274.16,8,149,0
411,1703948160,274.16,274.26,274.16,274.26,2,159,0
412,1703948220,274.26,274.26,273.78,274.26,10,159,0
413,1703948280,274.06,274.26,273.78,273.96,10,159,0
414,1703948340,273.96,274.31,273.96,274.31,5,154,0
415,1703948400,274,274.39,274,274.39,4,146,0
416,1703948460,274.39,274.67,274.39,274.67,6,126,0
417,1703948520,274.67,274.67,274.17,274.17,5,156,0
418,1703948580,274.07,274.07,273.39,273.39,10,156,0
419,1703948640,273.39,273.56,273.39,273.46,4,169,0
420,1703948700,273.39,273.56,273.39,273.46,4,159,0
421,1703948760,273.46,273.46,273.06,273.06,6,153,0
422,1703948820,272.75,272.78,272.04,272.43,23,139,0
423,1703948880,272.63,273.53,272.23,272.37,24,165,0
424,1703948940,272.37,273.03,272.33,272.83,9,185,0
425,1703949000,272.63,273.23,272.63,273.23,9,185,0
426,1703949060,273.33,273.43,273.13,273.43,6,185,0
427,1703949120,272.83,273.9,272.83,273.9,10,167,0
428,1703949180,273.43,274.59,273.32,274.41,13,150,0
429,1703949240,274.23,275.12,274.04,274.62,20,145,0
430,1703949300,274.62,274.82,273.82,274.12,25,187,0
431,1703949360,274.02,274.02,273.02,273.52,25,187,0
432,1703949420,273.52,274.02,273.02,274.02,20,187,0
433,1703949480,273.62,274.32,273.32,273.92,25,187,0
434,1703949540,273.82,274.02,273.52,273.72,11,187,0
435,1703949600,273.22,273.82,273.22,273.42,7,187,0
436,1703949660,273.02,273.37,272.52,272.73,11,182,0
437,1703949720,272.82,273.04,272.54,273.04,14,182,0
438,1703949780,272.94,272.94,272.53,272.63,13,183,0
439,1703949840,272.73,273.13,272.73,273.13,6,185,0
440,1703949900,273.2,273.53,272.93,273.33,16,185,0
441,1703949960,273.33,273.33,272.63,273.03,11,195,0
442,1703950020,272.99,273.13,272.63,272.93,5,185,0
443,1703950080,272.93,273.03,272.13,272.33,14,195,0
444,1703950140,272.13,272.63,272.13,272.53,18,175,0
445,1703950200,272.23,273.04,272.23,272.44,22,181,0
446,1703950260,272.44,272.64,272.24,272.54,16,183,0
447,1703950320,272.34,272.44,271.33,271.63,14,162,0
448,1703950380,271.53,271.64,271.23,271.64,18,144,0
449,1703950440,271.43,272.03,271.33,271.73,10,135,0
450,1703950500,271.9,272.4,271.9,272.4,8,140,0
451,1703950560,271.95,272.44,271.64,272.15,15,133,0
452,1703950620,272.15,272.4,271.64,272.38,16,130,0
453,1703950680,272.38,272.84,272.23,272.84,8,128,0
454,1703950740,272.95,273.44,272.44,273.34,17,141,0
455,1703950800,273.26,273.44,272.94,273.04,14,173,0
456,1703950860,273.04,273.44,273.04,273.24,14,183,0
457,1703950920,273.34,274.03,273.04,274.03,15,173,0
458,1703950980,274.03,274.22,273.12,273.72,15,175,0
459,1703951040,273.72,273.82,273.22,273.52,5,177,0
460,1703951100,273.52,273.62,273.52,273.62,2,177,0
461,1703951160,273.52,273.52,273.17,273.42,7,187,0
462,1703951220,273.35,274.52,273.12,274.42,23,177,0
463,1703951280,274.27,274.42,273.72,273.72,15,177,0
464,1703951340,274.02,274.52,273.42,274.03,21,177,0
465,1703951400,274.13,274.13,273.63,274.03,5,175,0
466,1703951460,273.66,273.93,273.03,273.63,10,175,0
467,1703951520,273.53,273.63,273.23,273.43,5,175,0
468,1703951580,273.44,273.44,272.84,273.15,10,173,0
469,1703951640,273.15,273.75,272.85,273.45,17,171,0
470,1703951700,273.55,273.66,273.15,273.66,13,171,0
471,1703951760,273.66,273.66,272.96,273.06,13,169,0
472,1703951820,273.06,273.66,273,273.66,15,169,0
473,1703951880,273.26,274.46,273.26,274.25,17,169,0
474,1703951940,274.25,274.85,274.25,274.65,9,171,0
475,1703952000,274.75,274.95,274.25,274.85,11,181,0
476,1703952060,274.85,275.14,274.85,275.14,7,181,0
477,1703952120,274.54,274.74,274.04,274.24,26,173,0
478,1703952180,274.14,274.64,274.04,274.44,13,183,0
479,1703952240,274.06,274.74,273.89,274.74,18,183,0
480,1703952300,274.24,274.64,273.74,274.34,19,183,0
481,1703952360,274.54,275.73,274.24,275.43,31,183,0
482,1703952420,275.33,275.83,274.63,274.63,31,175,0
483,1703952480,274.53,275.03,274.33,274.73,37,185,0
484,1703952540,274.63,274.63,273.73,274.13,15,185,0
485,1703952600,273.73,274.13,273.53,273.63,24,185,0
486,1703952660,273.63,273.93,273.53,273.83,8,175,0
487,1703952720,273.83,273.93,273.23,273.93,9,175,0
488,1703952780,273.81,274.74,273.81,274.74,20,183,0
489,1703952840,274.64,274.64,274.04,274.24,10,173,0
490,1703952900,274.34,274.84,273.74,274.64,23,183,0
491,1703952960,274.74,274.74,273.74,274.04,20,183,0
492,1703953020,273.44,273.84,273.44,273.64,7,183,0
493,1703953080,273.54,273.64,273.54,273.54,3,183,0
494,1703953140,273.54,273.54,273.03,273.23,13,173,0
495,1703953200,273.03,273.43,272.73,272.82,16,167,0
496,1703953260,272.73,272.82,272.73,272.82,2,167,0
497,1703953320,272.73,272.73,271.91,271.92,13,166,0
498,1703953380,271.92,272.12,271.82,271.82,16,177,0
499,1703953440,271.82,272.52,271.82,272.12,19,167,0
500,1703953500,272.12,272.32,271.92,272.12,11,177,0
501,1703953560,272.22,272.52,272.02,272.52,9,187,0
502,1703953620,272.12,272.92,272.12,272.92,6,187,0
503,1703953680,272.92,273.02,272.32,272.72,11,177,0
504,1703953740,273.02,273.02,272.82,272.92,4,177,0
505,1703953800,272.92,273.12,272.74,273.12,18,177,0
506,1703953860,272.69,272.94,272.13,272.54,21,175,0
507,1703953920,272.14,273.34,272.14,272.97,15,173,0
508,1703953980,273.24,273.45,273.15,273.15,7,181,0
509,1703954040,273.15,273.25,272.75,273.05,7,181,0
510,1703954100,273.05,273.15,272.45,273.05,9,171,0
511,1703954160,273.05,273.05,272.25,272.25,10,171,0
512,1703954220,272.35,272.55,271.95,272.35,7,171,0
513,1703954280,272.45,272.45,271.6,271.95,13,157,0
514,1703954340,271.85,271.85,270.58,271.44,16,154,0
515,1703954400,271.44,272.15,271.44,272.15,6,154,0
516,1703954460,271.93,271.93,271.23,271.73,22,185,0
517,1703954520,271.73,272.1,271.63,271.93,11,178,0
518,1703954580,272.03,272.24,272,272.16,7,164,0
519,1703954640,272.3,272.83,271.75,272.83,11,148,0
520,1703954700,272.83,273.16,272.83,273.16,5,152,0
